DTSTART	Weekday	SUMMARY	CLASS	Details
Jun 15	Thursday	Corpus Christi	Christian	 
Jun 21	Wednesday	Laylat al-Qadr (Night of Destiny)	Muslim	 
Jun 21	Wednesday	June Solstice	Season	 
Jun 26	Monday	Eid-al-Fitr	Muslim	 
Jul 2	Sunday	First Day of NAIDOC Week	Observance	 
Aug 1	Tuesday	Tisha B'Av	Jewish holiday	 
Aug 7	Monday	New South Wales Bank Holiday	State Holiday	New South Wales
Aug 7	Monday	Northern Territory Picnic Day	State Holiday	Northern Territory
Aug 15	Tuesday	Assumption of Mary	Christian	 
Aug 16	Wednesday	Royal National Agricultural Show Day Queensland	State Holiday	Queensland
Sep 2	Saturday	Eid-al-Adha	Muslim	 
Sep 3	Sunday	Father's Day	Observance	 
Sep 21	Thursday	Rosh Hashana	Jewish holiday	 
Sep 22	Friday	Muharram/Islamic New Year	Muslim	 
Sep 22	Friday	September equinox	Season	 
Sep 25	Monday	Queen's Birthday	Common State holiday	Western Australia
Sep 25	Monday	Family & Community Day	State Holiday	Australian Capital Territory
Sep 30	Saturday	Yom Kippur	Jewish holiday	 
Sep 30	Saturday	Daylight Saving Time starts	Clock change/Daylight Saving Time	 
Oct 2	Monday	Queen's Birthday	Common State holiday	Queensland
Oct 2	Monday	Labour Day	Common State holiday	ACT, NSW, SA
Oct 4	Wednesday	Feast of St Francis of Assisi	Christian	 
Oct 5	Thursday	First day of Sukkot	Jewish holiday	 
Oct 11	Wednesday	Last day of Sukkot	Jewish holiday	 
Oct 12	Thursday	Shmini Atzeret	Jewish holiday	 
Oct 13	Friday	Simchat Torah	Jewish holiday	 
Oct 19	Thursday	Diwali/Deepavali	Observance	 
Oct 31	Tuesday	Halloween	Observance	 
Nov 1	Wednesday	All Saints' Day	Christian	 
Nov 2	Thursday	All Souls' Day	Christian	 
Nov 6	Monday	Recreation Day	State Holiday	Tasmania
Nov 7	Tuesday	Melbourne Cup Day	State Holiday	Victoria
Nov 11	Saturday	Remembrance Day	Observance	 
Dec 1	Friday	Prophet's Birthday	Muslim	 
Dec 3	Sunday	First Sunday of Advent	Observance	 
Dec 8	Friday	Feast of the Immaculate Conception	Christian	 
Dec 13	Wednesday	First Day of Hanukkah	Jewish holiday	 
Dec 20	Wednesday	Last day of Hanukkah	Jewish holiday	 
Dec 21	Thursday	December Solstice	Season	 
Dec 24	Sunday	Christmas Eve	Observance	 
Dec 25	Monday	Christmas Day	National Holiday	 
Dec 26	Tuesday	Boxing Day	National Holiday	 
Dec 31	Sunday	New Year's Eve	Observance	 
